HolderAddress,Balance
0x4f551bc19df1b3a4feb1a2762b42b92e36d197f9,5164936.876
0x548e03c19a175a66912685f71e157706fee6a04d,300006.285
0x289087ca02e10b9a29e1267ef5c6792690b8f933,80906825.47
0x00000000f7b7d8a2974a129cbadd9f2f99c1ff80,1.00E-09
0x2b1c5883e26e6ccffc5a4f1c1d51c450dbf758f6,0.468948582
0x82ca57e198e785aac64b3416d5abbe03fec9ba70,231290.297
0xb67f7e6b0da5c9a2876f429bb760055c949b1528,0.025911776
0x6a46689b2099b0e0d967ba042d541b806dc352d0,29.45940124
0xb96df917ea773db6cef117303afae3b7b19b755d,121532.0021
0x939b83bc22e6d106d7f1ccc246a03c864f8ce4fc,0.114454636
0x2d847b6828ce29541ad79706f7330d03100631d4,0.04974562
0xbb1df8ddc0599ebbe0e6b878531a7bc60895db16,2405.390774
0x7cbaab6dd144ee78c60852bd5d1d3be4ad62924c,35684.75942
0x352a870a7b5e1483893603d40d0006a9a99d38b8,7200
0x04739129fb7ca2199ab5a752fae96077ad9b00de,6000
0x2aeb73c97190c0329718c0aa72509c4797a10c0c,314729.2232
0xce2f3687bf03b9d08229dd2110ad1d62921d29dd,13500
0xc9a12e716206cb56344b2fd9e453421f8965ae35,3000
0x97fd87cc32ed4ccee07b17e1159e9aca85b223ab,11901.67909
0x457bbc83ce2fab49026c04abedce860c8673c892,114964.0033
0x2170866c501a073d7454aec5e75fc989a645717b,0.0003389
0x4c0d9ce41c8b9b73478863df0e1597b2ad216712,1.998796155
0x36af6b1816d68920ec69b4eb4c16f0ac44ac8829,5.933614371
0x0ec3bed0add6feac4b17c9869f46aaf8f85523a3,45000
0xcdb138c3f0679c4e62e1a6b645f2af47f98c7e1d,8809.952455
0xabdefbc358c4364a37d9f03eb61c6f3700a3d379,0.00023179
0x77ab59a0085d877401dc94038d146167a7cc25eb,6000
0x345cc8da3f2ed35e2fd60f3eeb3fedd6bb53db8b,3000
0x26357c004caaf646fb7cd9e2342576320ad4d10b,15968.60553
0xb9cffc3b822f3247ad5d39203a57bd8a04e04665,100001.2364
0x7996cf3fbc0655131bd5a6d66e1ae2720f1de45e,88534.73806
0xceb1eeb4a1907bcbd64febc094640cb3c440dbfb,44387.75599
0xa9742659a7507d58b865144f23af849b2975e2b7,0.521030382
0x8ba9f964ca78d754761bafef1e2e210efc008de3,36418.08311
0x0ed5cf3622f8334510f75b0d4f557b08f937b26e,0.071971561
0x2a686876ed65d590effc3f506ab076d4a9516325,29623.32789
0xc3ef57767ec05e8133bcb6f4854d19e5221533ac,30043.06115
0x36c802d3aa4728408c2d7957cccb97a0f4122438,0.00231285
0x55bdb8a8065a4c1358ffed26b9f37e13a1fffbd6,703.7182338
0x0eb480e619b5497cb5e02b86d161e71457cb20ee,717.6598367
0xfbd2d62fdf7a4ca2f846880f7821806fad78d87f,5481.101339
0xe6a44c0a63b748e4ed0dcb1013ddcb2fbb144820,686.9435221
0xdae412a2c924ce1b42b5ff4b8bff1c4c30076be0,1407.506164
0xfca43f28d0aed443502715a14c5409ca86a9856a,881.9256063
0x388e7d27f3b5ff4d9cb4c88c50b916c6abfd79ed,1556.609472
0xdca0dce806125e3db2785084aef436446e19b2fa,14134.96073
0xb2826c332b6ff9b22ba234b9285d4b0e3b7ee9f0,1456.000069
0xc6a96c002809d4050712e4ce1fd6443cbe30900e,3698.964248
0x08d9f5dfc0e7836632f139541a650e4e463b9372,147.995015
0x64c1dc4c9428454773101510b337aaac05c1869d,147.9899447
0xee5424d2eeae1cbdb0a93f55a4dca988ce0b511d,3159.723931
0xe04e5f1e895f00c709021cd86e22876ab2c38d32,7414.041634
0xbe13df46d86f1e9d952df277117d3eee7f1473cf,3896.810802
0x8a4b444cd7c7d8a0ef06a2f30cf08cb69dc4968a,9893.875992
0xa919f465abd5b42a151f7d6b2f5a1422c014c512,2275.000168
0xa9d24f9e1ed1048c13a5e4fa86903c4cf48d0e25,30297.42341
0x0ae65882cda9bc2118cd244ac4c57713042d13c7,605.8539534
0x25c2461422dfbb90a6aa1c5b6d6aafc1c88e9522,37.65445295
0x8d0a943f6ee70f37f2378563d3feaa5c38721c1c,77.49920441
0x975436588551a43e798bdc0d8a3903bc880f4472,892.3188216
0x78be811214693603ea63dc5639cdfd5f26870012,12857.84097
0xa817bd143c6ba2dfe5881177685c058343bf41b6,133.657145
0xe2a7523377a3a0ac9a3c81007c8cd01329e5d484,501.3903955
0x8bdc5fb4a47d1b45a6c0d4befc3704b0b73b55a7,785.8965121
0x39884c31327d3456eec09cb7e6a4e88ee401d2cf,5843.004341
0x269c1d3a2cfc46e0c5accecad7d85ffe5d3f3340,3211.314553
0x4fae43060a90c6fc628e01cf92a3f9819fc64532,841.750023
0x7d47ef64be33976de3e4267c2cc6cdb2946ee7d6,91.91000027
0x1bcf4125626dacdf3a7ca1c5b5e1436fddb58602,12740.91554
0x0b4dc25b26786f2428ee5495fc184e3ce0447b50,793.5200205
0xd0cb97a5066b23939b087e10f1347dfcc1f62278,7688.591921
0xfd3d9940e77ddc3da199daeeacf45901ec18e11c,238.7969656
0x122d88d93ffe6aed0e3b151cef82a06aac73e226,795.8960306
0xf0775f32c087eaf3a9f0428a57a58f3c9ff0b8ad,238.7412319
0x2149720fbe88ae6f48647186d4935c9a90986335,10614.22654
0x99d3c333309ae62e54447e8a52ebb79e3ee1f711,1.91180856
0x1d8687ed2ffab7bc9ac6f5155e221db02fb48a42,439.4489678
0x5e79ba82e955186f1615b2c29b2f103898020252,14508.84175
0xd4200163358d228ed4f5d7b2b97074ff94dda40b,149.2846627
0xf4a5a8c9558eb20570842c3912584dc824c16372,1036.132219
0x1bd0f60289664b15002ba311037af65d4db0d647,222.7689116
0x5671eb9efebcfd82b7190a7417f991510573ee80,148.5196382
0xf34697bbba86400e1a92678ae0e70db0b78afb6c,1488.864642
0xd8ff530030eb333e33e4cc0e260108e724c414d9,1488.898006
0x3d9f77fbfad0357aa7251b8625bf0d43ca5a584d,3574.672203
0x27481a49cef5a9dd43a36a10d2ce7561aed2f8ec,1483.347742
0x7065127ba7a850ea840af6cd21c834816c0db0c9,297.4527915
0xc5daf3acf758b5340413baa420775b18809eec81,2625.039208
0x311c775522d3492dd7eca5f6cf50877408aba449,281.1768493
0xdfaf6d10e509d55c22e909eb4128ee9a48585f90,1816.162262
0x857469cdc2ddebac955ba2c03d15ae7accb8d304,35569.3401
0xeb6738fde5da61ac8bb283e8d9a4c7a078de3b39,1331.925989
0xf9f30c4ea23938100c24889bef424726653f997f,895.3310532
0x636efadfbc92f53c89c52b5be0a0cc3f9062e973,356.8280295
0xfd21e51751f04e4eb0d9180c21a6154613402bb8,1064.387394
0xba31c328e0426e7dd9cbf7f380e78fd51e06cada,1509.033027
0x73907fbeeb959ea613a30a379386810b52cadff3,32191.46911
0x0529510a1f11df51fa19b14d8479c9839d7ffb46,1506.960074
0x304c1f8c4b4cf4e9ca3b085490c343f182423c9b,2951.148416
0x959ee31099d80ef68d6346f7d793b9a3ae1d61c2,1071.369691
0x9099e2b42b8f66693763385e9c85367cd8b98bb6,4496.505955
0x0a8395a302a4f8e16e19ffa01b8f505079045c3d,494.8006704
0x1bc333ce2d021a696f35f9d1f48c24f350d63262,37289.09425
0xcc208461c592689eb02ebda905e417aad570fb83,257.6636234
0x646749e6ec96e5e258bd345a27b04fcec71e399d,252.7388968
0x7e7658813b6c3439a2f3d7eae6c6005fb5822c1c,25.26608628
0x8025bb08403928d74f5d483fe61f4949e70bc07d,10881.415
0x0bed624d238d1d959000bf7f708822735f3a0fe9,9762.30108
0xaafc8e6444322c4f92665be608f893fd5992983a,2092.453881
0x0347ba3c24cf902a706f9cc59c36c82fef9c9b61,172.8927424
0xc6ad797341ac8b8345c77288417d8b49ad0d67ce,3805.084307
0x5142b9e57c5f319fefbfa89bd6c4ef96d6a03fff,13392.44717
0x3106072395981325bff6144b42144cc70d590805,7867.550152
0x603657337343acdab877c10358d7d2247d641f8d,1.00072262
0x73dfd00eae7d3c9ea9d2865f9911a9a8135f11f9,1567.020194
0x4cb0c82a049a09cd1a081b2d4fd2c75b6bb8e57c,396.2300469
0x1663bc583f242a61fb7558acf3d2016496a29e4b,3163.669963
0x64567179a3aad259234933b6d6dc68cd24297a63,1406.637589
0x5a01e62af5d6f588fa79f63058d84dac75d9cdda,0.000528162
0x018fe91ccd795cb79ed336a35e69ab0c815b27d0,83759.23212
0xe1e2f20b619aaabfc84e4c5382863ee7194be651,15581.35207
0x9631d7e081fa4ddf9ece39ca35ac170db73ec854,1.13700637
0xa00749c5436ed3f290783d1d5ee8e42c9672078a,0.522398298
0xb14a2b380f2ad6083a5cc8234b54ac10e6566c25,251.0431425
0x8ff83b457777f5aa1667e90eb1064dd0d17836b5,1820.000108
0x1dab868a4eb1eb016f9f0eb6bf6bac8217901624,3166.070775
0xb57470fe7f940062d2e5135c7da751d39e603fc4,158.3400008
0xb8498d9bda2e32c0f8e608d44a037267cc7340c5,339.4300037
0xbb43ad94df990fa4983a8808e88d8d01cc64c0ea,7922.155711
0x7ca9f9315872852e107fba191655645f32b39040,10796.87865
0x1eedcda81470f982e3c1cbbf75a7a320176563db,1623.161712
0x6859a1044787d5b8e604f22beb943e21ceef9b58,977.1668488
0x0c36718c3206369564d33dda07ee2cf0bebe3d87,326.1618384
0x32a8fc85c89630a48eebe3e844d3f6dea5f1ff9c,2630.450433
